TIME, DESCRIPT
0:01,está buscando uma forma de entender como
0:03,se inicia nesse jogo e o meu desafio é
0:05,fazer você entendeu necessário de uma
0:07,forma simples direta e rápida Lembrando
0:09,que cada mapa é diferente tente adaptar
0:11,o que eu falar aqui ao seu mundo agora
0:13,sem enrolação Vamos para o vídeo
0:19,para a criação de seu personagem Eu
0:21,recomendo que joga no modo clássico o
0:23,madcore ao ID base ou seus itens irão
0:25,dropar e o Hardcore você só tem uma vida
0:27,e no caso do modo jornada eu dedicarei
0:30,um vídeo somente para Ele já para o seu
0:32,mundo eu recomendo um de tamanho médio a
0:34,dificuldade no perito pois os Boss
0:35,dropam acessórios exclusivos e que o
0:38,bioma maligno seja o carmim mas para
0:39,esse vídeo a escolha do bioma maligno
0:42,não influenciará muito e como chegamos
0:44,aqui vou tentar falar de uma maneira um
0:46,pouco menos acelerada
0:47,[Música]
0:51,o primeiro dia é definido pela
0:53,exploração da superfície de primeiro
0:55,momento marca a localização do Seu
0:57,principal e será bastante importante no
0:58,final do dia em seguida explore tanto a
1:01,esquerda do seu mapa quanto à direita
1:02,dele tente contra baús de madeira e casa
1:05,encontram uma árvore gigante melhor
1:06,ainda Explorer ela toda
1:12,Aproveite também para coletar Girassóis
1:14,e acabar com alguns slimes
1:18,quando encontrar o deserto colete cactos
1:21,Eles serão úteis para fazer uma armadura
1:22,que reflete dando tomado E caso seu
1:25,background começa a ficar avermelhado ou
1:27,Violeta está na hora de trocar a direção
1:29,depois colete bastante madeira e
1:31,construa uma casa para você e o guia e
1:33,mais dois npcs a construção da casa é
1:35,bastante simples faça ela em volta do
1:37,seu Spawn pois Toda vez que você
1:39,retornar estará seguro as paredes devem
1:41,possuir uma altura de 6 blocos acima da
1:43,base e na altura do 6º bloco você
1:45,completa o teto faça uma casa espaçosa
1:47,para que os npcs fiquem confortáveis
1:49,também construa uma bancada de trabalho
1:51,no seu inventário e a coloque no chão
1:53,fique próxima bancada Craft uma cadeira
1:55,e também a coloque também faça paredes
1:58,na bancada de trabalho e preenche o
2:00,fundo com elas
2:01,[Música]
2:03,para fazer tochas no seu inventário e
2:05,coloque ela na parede e no final põe
2:08,duas portas nas entradas
2:10,Por demais npcs construiu a casa deles
2:12,acima da sua e com a casa construída
2:14,vamos para mineração
2:16,[Música]
2:19,caso ainda esteja dia e tem encontrado
2:22,uma abertura como essa na superfície
2:24,siga por ela para entrar nas cavernas
2:25,agora se já estiver de noite cabe para
2:28,baixo e faça plataformas no seu
2:30,inventário para tapar o chão e o que não
2:32,cair e siga cavando para baixo o que
2:34,você irá coletar serão minérios corações
2:36,e acessórios para entender A Hierarquia
2:39,dos Minérios temos que entender as
2:40,possíveis gerações o mundo pode gerar
2:42,cobre ou estanho ferro ou chumbo prata
2:45,ou Tang sênio e ouro ou platina e o
2:48,nível de cada minério está em ordem
2:49,nessa tabela junto com a sua eficiência
2:51,o que você irá coletar de minérios são
2:54,os que estão a partir do Tier 2
2:55,Lembrando que caso encontre ferro não
2:57,terá chumbo no seu mundo o mesmo ocorre
2:59,ao contrário e paro de mais minérios com
3:01,a sua picareta Inicial você pode quebrar
3:03,qualquer mineral mas recomendo que após
