TIME, DESCRIPT
0:05,começar bem do Terraria e fica até o
0:07,final porque a última dica é a mais
0:09,importante Ok mas enfim Bora para o
0:11,vídeo assim que começar já faz duas
0:13,casinhas ou três se preferir são as
0:15,casinhas de NPC para fazer bem simples
0:18,você faz um quadrado de 10 por 5 coloca
0:20,as portas coloca a parede coloca a mesa
0:22,coloca cadeira e coloca a tocha pronto
0:24,faz duas dessas ou três e o que você vai
0:26,fazer agora vai ser tentar achar um
0:28,bioma de deserto assim que você achar
0:29,faz duas casinhas ou três desse bioma
0:32,isso porque no terraria é cada NPC fica
0:34,feliz de acordo com o bioma que ele
0:36,tiver e logo após fazer as casinhas
0:38,tenta conseguir ficar isso é muito
0:40,importante vai lembrar que você
0:41,provavelmente não vai encontrar um
0:42,deserto de primeira e caso que você
0:44,encontre seja um bioma corrupto ou de
0:46,carne tenta pegar o máximo de madeira
0:48,possível desse bioma mas caso você acha
0:50,um deserto pega cara um cacto ou a
0:52,madeira corrompido você vai fazer uns
0:54,sete que vai ser o seu primeiro set vai
0:56,ser um Serginho bem bacana não vai ser
0:57,tão fraco enquanto o primeiro set de
0:59,madeira e também faz raspadinha porque
1:01,essa espadinha aqui é um lixo mano já
1:03,jogou no lixo já e faz ali a espadinha
1:05,de madeira corrompida ou então a espada
1:07,de cacto Eu recomendo que você procure
1:09,cacto porque a armadura de cacto te dá
1:11,um Buffy muito bom pois todo bicho que
1:13,te bater também vai levar Hit e a Espada
1:15,de cacto é uma das melhores para o seu
1:16,início de game agora no começo da
1:18,jogatina tenta não morrer sério não
1:20,morre Você vai precisar de 50 moedas de
1:23,prata pra desbloquear o PC comerciante
1:25,então assim para você pegar 50 pratas Já
1:27,guarda no baú e espero comerciante vir
1:29,vocês vai te dar muito item bacana Como
1:31,por exemplo o saco porquinho ou então o
1:33,capacete de minerador assim que você
1:35,tiver feito todas as casinhas e tiver
1:37,feito o sete eu recomendo que você vá
1:38,direto para as cavernas ou então fazer
1:41,um real túnel um real Túnel é um túnel
1:43,retângulo que você faz e coloca corda
1:45,pra que assim você consiga subir e
1:46,descer com facilidade porém como a sua
1:48,picareta demora muito pra minerar eu já
1:50,recomendo que você vai nas cavernas
1:51,mesmo até conseguir uma picareta melhor
1:53,como se dar bem das cavernas do Terraria
1:55,Existem duas possibilidades de mapa mapa
1:57,com corrupção e o mapa com carmim podem
1:59,também existe de minérios o minério
2:02,Inicial é o cobre ou então o estanho
2:04,você o mapa pode nascer com um desses
2:05,dois e também tem a escolha do ferro do
2:07,chumbo na prata e do Tang sênio e do
2:09,ouro e da Platina se amava pode dar ser
2:11,com um desses dois minérios e eu quero
2:13,que você Ignore completamente o cobre o
2:16,estanho não pega isso porque você vai
2:17,perder muito tempo foca completamente no
2:20,ferro no chumbo na prata no tungstênio
2:22,no ouro ou na Platina mas lembrar que
2:24,você também tem que pegar aquelas joias
2:25,que aparecem porque você precisa de 15
2:27,ideias para fazer um drape e tem
2:29,extremamente útil no começo do jogo se
2:31,tu achar poção dos teóricos dos baús que
2:33,já usa é muito útil porém mesmo que você
2:35,não acha faça poção do espiólogo que é
2:37,bem simples na verdade você fazer você
2:39,primeiro vai pegar uma garrafa e vai
2:40,colocar em cima de uma mesa e depois
2:41,você vai pegar uma garrafa com água uma
2:42,raiz brilhante que você encontrar as
2:44,cavernas o Brilho da Lua que você
2:46,encontra na selva e um minério de ouro
2:48,que você também encontra nas cavernas
2:49,daí você vai poder finalmente fazer a
2:51,poção desse teólogo porque ela te mostra
2:52,todos os minérios do jogo porém mesmo
2:54,com essa poção você provavelmente não
2:56,vai ter iluminação recomendo que você
2:57,cumpre o capacete do minerador ou então
2:59,mate o máximo possíveis para fazer
3:01,tochas e pega bastante teia porque você
3:04,vai fazer uma cama e um ioiô no começo
3:06,do jogo esses dois itens ajudam demais
3:07,eu não sei se sentir à vontade de
3:09,perceber que realmente está bem no jogo
3:10,se concentra em pegar ouro e Latina e
3:13,pega o máximo de baús isso porque
3:15,existem dois itens muito bons para eles
3:17,do jogo que é o pulo duplo e o espelho
3:19,mágico e só vendo os baús Vale lembrar
3:21,que para você achar baús com facilidade
3:22,Você pode muito bem se concentrar nas
3:24,fadas que aparecem de vez em quando elas
3:26,sempre vão te dar uma posição exata de
3:28,algum item bom pode ser tanto baú quanto
3:29,orações e sim velho o máximo de corações
3:32,possíveis cada coração dá 20 de vida
3:35,então não passe dos 180 de vida pelo
3:38,amor de Deus isso porque quando o jogo
3:40,percebe que você tem 200 de vida ele vai
3:42,spawnar o Olho de bagulho coisa que você
3:44,não quer então não deixa a sua vida
3:45,passar de 180 de HP que tiver a dica de
3:48,ouro se você achar um minério corrompido
3:50,ou de carne pega sem exceção Mas você
3:53,tem que fazer esse arco aqui que é
3:54,extremamente útil no início do jogo e a
3:57,mineração você vai minerar Até pegar no
3:58,mínimo 3
4:00,minérios de ouro ou de platina isso já
4:03,vai ser o suficiente para você fazer o 7
4:05,de ouro ou de platina e a picareta de
4:07,ouro de platina e aliás pegue bombas não
4:10,deixe nenhuma bomba passar pegue o
4:11,máximo de bombas possíveis porque você
4:13,vai fazer uma das coisas mais úteis no
4:15,começo do jogo e ainda corrupção ou no
4:17,caminho e explodir os corações mas
4:18,Lembrando que vai ser bem difícil ir lá
4:20,agora no começo porque os bichos são
4:21,muito fortes enfim você vai ignorar
4:23,todos os bichos vai explodir dois desses
4:25,corações e provavelmente já vai ser o
4:27,suficiente para ver alguns itens muito
4:28,bons que podem ser vários eu não vou
4:30,citar eles aqui mas todos eles são muito
4:32,bons Mas o que você realmente quer que
4:34,apareça é a pistola ou exclusivo aqui
4:36,Independente de qual venha é uma ótima
4:38,arma no início do jogo só que não
4:40,exploda três desses corações porque
4:42,senão vai spawnar o boys do bioma O que
4:44,você vai fazer agora vai ser esperar o
4:46,vendedor da mini chat chegar O Vendedor
4:48,de Armas que só aparece quando você tem
4:49,alguma arma no inventário Você vai
4:51,esperar ele chegar vai Juntar uma grana
4:52,e vai comprar mini chat vai lembrar que
4:54,se ele estiver no deserto ele vai
4:55,abaixar o preço pra tu Ok e pronto você
4:57,pegou a mini shark e mais ou menos três
4:59,horas de game Play você já vai estar
5:01,forte mais do que suficiente para matar
5:03,os três primeiros o rei geleia o olho de
5:06,coturno e o boys do bioma corrompido e
5:08,pronto você já vai ter começado muito
5:10,bem no terraria a dica que eu falei lá
