TIME, DESCRIPT
0:04,vídeo do canal e hoje vou fazer um
0:06,compilado com 50 dicas para quem está
0:08,começando ou vai começar o Dark Souls
0:10,pela primeira vez Então bora lá a
0:14,primeira dica de todas é ao começar
0:16,escolha a chave Extra ela abre diversos
0:19,caminhos logo de cara nos dando mais
0:22,Liberdade com isso podemos inclusive
0:24,deixar o nosso personagem forte
0:27,rápidamente a humanidade que ganhamos no
0:29,jogo é muito importante primeiro que ela
0:32,permite com que a gente fique humano e
0:34,assim vota NPC ou outros jogadores para
0:37,nos ajudar mas ela também serve para
0:40,acender a fogueiras ao gastarmos uma
0:42,humanidade na fogueira ganhamos mais
0:44,cinco estas além disso a usarmos uma
0:48,humanidade recuperamos todo o nosso HP
0:51,isso pode ser muito útil caso a gente
0:53,esteja Sem essas para nos curar se você
0:56,já jogou outros jogos saiba que no Dark
0:59,Souls 1 é gente apenas acender a bom
1:02,fire não serve para transformar o
1:04,checkpoint precisamos sentar nela daí
1:07,sim se morrermos Voltaremos para ela e
1:11,também para o uso do osso do regresso
1:13,que é um item que eu aconselho a usar
1:15,sempre com ele voltamos a última
1:18,fogueira de sentamos e também ficou
1:20,aviso mais para frente nós poderemos
1:23,teleportar entre as fogueiras mas nem
1:25,todas são possíveis Então pense bem que
1:28,fogueira sentar algo que pode ajudar
1:30,muito além das invocações são as
1:33,mensagens que outros jogadores deixam no
1:35,chão elas podem dar a gente excelentes
1:38,dicas como indicar uma parede secreta
1:41,sempre que desconfiar de uma parede ou
1:44,ver uma mensagem cole contra ela talvez
1:47,seja uma passagem secreta escondendo
1:49,alguma coisa sabe aquele dragão chato
1:52,que aparece na ponte então ele só
1:55,aparece porque ativamos ele aqui então
1:58,se a gente pegar outro caminho sem
2:00,passar por ali ele não aparecerá na
2:03,ponte Isso facilita muito mas ele também
2:06,Dropa uma excelente arma no começo a
2:09,gente pode ficar aqui embaixo na ponte e
2:11,atirar em seu rabo até cortá-lo E por
2:15,falar nisso quase todos os inimigos
2:17,grandes ou chefes que possuem errado
2:20,dropam alguma coisa caso a gente as
2:22,corte e maioria são excelentes armas e
2:26,por falar em armas fortes se encontrar
2:28,esses Cavaleiros Negros os mate embora
2:31,Sejam difíceis eles podem dropar as suas
2:34,armas e são muito boas e eu recomendo
2:37,assistir esse meu vídeo onde eu mostro
2:40,Quais as melhores armas para usar no
2:42,começo do game para cada Bio de
2:44,específica vale a pena viu o link está
2:47,na descrição e sabe porque você não
2:49,consegue dar dano nesses fantasmas é
2:52,porque ele só tomam dano de armas
2:55,específicas ou então se você usar antes
2:57,o item maldição transitória
3:00,aí sim eles vão tomar dano caso você
3:03,esteja amaldiçoado também consegue dar
3:05,dano neles mas estar amaldiçoada é
3:07,horrível além de tirar metade do seu HP
3:10,também te deixa morto ó e a maneira mais
3:13,fácil de curar a maldição é com esse
3:15,item aqui a gente pode comprar nesse
3:18,Padre ainda na paróquia sempre carregue
3:21,pelo menos um desses itens ele pode te
3:23,salvar e falando do padre caso a gente
3:26,ataca um NPC sem querer e ele se torna o
3:29,estilo com a gente podemos pedir perdão
3:32,no Padre daí o NPC volta ao normal sendo
3:35,nosso amigo novamente e procurem em vez
3:38,de matar NPC será amigo dele eles podem
3:42,te dar itens vender magias e até te
3:45,ajudar em chefes Além disso prestar
3:48,atenção no diálogo deles é útil podem te
3:51,dar dicas importantes o único que eu
3:53,recomendo matar é o NPC lá o trade se
3:56,não matar algo ruim vai acontecer é
4:00,porém o anel que ele Dropa ao matarmos o
4:03,da benevolência proteção é um dos
4:05,melhores se não o melhor anel do jogo
4:07,vale a pena matá-lo para evitar as
4:10,coisas ruins e também por causa desse
4:12,anel matar o inimigo Ravel é excelente
4:15,também Apesar dele ser muito forte com o
4:19,anel que ele Dropa conseguimos carregar
4:20,muito mais peso sempre pequenos pesadões
4:23,a maneira boa de matá-lo pegando
4:26,betestabe mas se você ficar com escudo
4:29,levantado na hora de apertar o botão do
4:31,best-seller você não vai conseguir solte
4:34,o escudo instante antes ou vai falhar
4:36,sempre e o melhor estudo do jogo é esse
4:39,aqui o estudo de Brasão viciante que
4:42,pegamos na floresta isso porque ele faz
4:45,com que a estamina se regenera e mais
4:47,rapidamente se matarmos esse vendedor
4:49,ele nos Dropa auxiliatana uma excelente
4:52,arma para destreza nasceu difícil de
4:55,comprar tudo que ele tem antes e compra
4:58,do ferreiro André os de reparo pois as
5:01,nossas armas e armaduras vão se
5:03,quebrando e elas não se restauram
5:06,sozinhas essas caveirinhas morrem mas
5:08,ficam voltando né a maneira definitiva
5:10,de matá-las é matando antes esses
5:13,necromantes que as invocam ou então
5:16,usando alguma arma que tem esse bônus
5:18,com divino você consegue transformar
5:21,quase todas as armas em divinas e em
5:23,vários outros tipos também mas para isso
5:26,precisamos encontrar os braseiros e
5:29,entregá-los ao Ferreiro certo o mais
5:31,importante deles para começar esse aqui
5:33,que fica nas profundezas pele ele e o
5:37,leve ao Ferreiro André isso fará com que
5:40,você suba sua arma até o mais 10
5:41,deixando muito forte mas por que
5:45,transformar as armas é que as armas
5:47,possuem essas letras que ficam na frente
5:49,de alguma tributo quanto melhor a letra
5:52,mais forte armadilha Quando vamos aquele
5:55,atributo da letra essa por exemplo não
5:58,tem letra com fé Então se formos fazer
6:01,um clérigo e o parmos bastante a nossa
6:04,fé para os nossos Milagres Essa arma não
6:06,ficará forte daí se adornar-nos Divina
6:09,ela passa a escalar com fé ficando assim
6:12,com uma letra dessa forma quanto mais o
6:16,Parma ferro mais forte fica a arma
6:18,quando você for usar uma arma sempre
6:20,veja se ela tem uma escala de letras
6:22,boas um atributo que você tá upando os
6:26,atributos que aumentam ataque são quatro
6:28,forças inteligência e fé tem se Focar
6:32,apenas em um no início já que vai
6:34,precisar de pontos para o para os
6:36,atributos de sobrevivência também a
6:39,coroa de sua noite te pegamos aumenta o
6:41,poder de todo tipo de magia que usamos
6:43,vale muito a pena usá-la e por falar em
6:47,poder a pirammacia as magias de fogo não
6:51,tem instala então para ficar mais forte
6:54,lá supormos a chama piromantica o
6:57,catalisador que a solta e depois de mais
7:00,15 você pode vir até essa NPC e ainda
7:03,acender as suas Chamas levando até o
7:06,mais cinco o máximo do seu poder mas
7:09,para chegar a esse lugar lá então é bem
7:11,complicado tem muito veneno e tóxico
7:14,então eu recomendo você comprar ou então
7:17,farmar musos para descer até esse local
7:20,ou vai sofrer muito no caminho é para
7:23,muitos a pior hora de todos os jogos a
7:26,menos que você tenha pego a chave mestra
7:28,e faça esse caminho aqui é um atalho
7:31,imenso de já te leva lá para baixo sem
7:34,muitos perigos quebra demais o jogo as
7:38,armas de cristal vendidas por esse
7:39,vendedor ou então transformadas no
7:42,terreiro dão mais dano que qualquer
7:44,outro tipo de arma entretanto elas não
7:47,podem ser restauradas E assim se
7:50,quebrarem você as perde para sempre
7:52,use-as Apenas quando precisar mesmo e
7:55,falando ainda desse vendedor depois do
7:58,encontro com ele nas profunde ele vai
8:00,para esse lugar debaixo da ponte ali
8:03,antes do bordo ele vende coisas
8:04,interessantes como as armaduras dos
8:07,chefes que derrotamos voltando ao Começo
8:10,embora o jogo seja aberto a área que eu
8:13,aconselho começar é subindo aqui para o
8:16,gordo mesmo ela tem um nível mais baixo
8:19,seria a verdadeira área inicial a
8:22,caveira de Fascínio também é outro item
8:24,muito bom e que poucos usam ao jogá-la
8:27,por alguns segundos atraímos a atenção
8:29,de vários tipos de inimigos alguns baús
8:32,do jogo São mímicos Monstros prontos
8:35,para nos devorar a gente consegue
8:37,identifica-los casa corrente do seu lado
8:39,esteja para frente sempre serão deles e
8:43,podemos jogar o talismã de Lóide para
8:45,fazê-los dormir e assim pegamos o seu
8:48,item se você deixar alguns itens como
8:50,musgos no ninho do começo ao fechar o
8:53,jogo e abrir novamente você ganhará
8:56,itens
8:57,ainda no começo
8:59,a borboleta é um chefe chato para quem
9:01,não é mago Mas você pode invocar a
9:04,Beatriz ela se encarrega do Chefe
9:06,sozinha e caso você queira usar uma arma
9:09,que Peça muita força você pode aumentar
9:11,a sua própria força provisoriamente
9:14,colocando a arma em duas mãos ao fazer
9:17,isso a sua força sobe em vezes 1,5 então
9:21,se você tiver 20 depois e segurar a arma
9:24,em duas mãos será como se você tivesse
9:27,30 de força são os 20 que você já tem
9:30,vezes 1,5 andar na lava dá muito dano né
9:34,Mas não se preocupe você vai encontrar
9:37,um anel que reduz o seu dano na lava
9:38,após derrotar um certo chefe daí sim
9:42,você poderá explorar os locais
9:45,e nas ruínas além dos Fantasmas o local
9:49,está cheio de água para fazermos essa
9:51,área temos que conseguir a chave com o
