TIME, DESCRIPT
0:01,humana individual games entra no site e
0:04,use o meu cupom rádios para ganhar 5% de
0:08,desconto vou deixar o link todos aqui na
0:10,descrição akon rádios e castanho com
0:13,mais um vídeo ea exatamente sete anos
0:16,atrás eu iniciei minha jornada no dar
0:18,zoom em um dos vídeos que me ajudou
0:20,muito foi o começando bem do filipe
0:22,ramos naquele vídeo ele apontava os
0:24,principais pontos de como você começar
0:27,bem como diz o título desse vídeo no
0:29,dark souls e bem eu decidi fazer agora
0:32,que saiu daqui surge mestre a minha
0:34,versão voltada para a versão imagem do
0:35,dark souls que é a mesma coisa mas eu
0:38,decidi reformula isso aí e fazer mais ou
0:41,menos como filipe ramos fez entretanto
0:42,usando meu estilo e dando algumas dicas
0:45,extras pra vocês ok então eu vou dividir
0:48,esse vídeo em duas partes
0:50,a princípio não vai ter uma terceira
0:51,serão apenas duas partes de início aqui
0:54,eu peço que vocês colaborarem dando o
0:56,seu like esse poder compartilhar para
0:59,amigos que estão iniciando nesta jornada
1:01,bela e de flores que dark souls ou nem
1:04,tanto
1:05,a primeira coisa que muita gente fica em
1:07,dúvida no início ela própria criação de
1:09,personagem você pode criar entre várias
1:12,classes entretanto da sua vez não se
1:14,limita pelas classes
1:15,você pode começar como marcou e depois
1:17,seguir o caminho como sendo um guerreiro
1:20,entretanto existe uma classe inicial que
1:21,vai ser mais apropriada para iniciantes
1:23,no meu ponto de vista que é classe piro
1:26,mante você tem um machado que é decente
1:28,no início e você tem imagens de fogo que
1:31,te ajudam a matar grande parte de chefes
1:33,aí eles vão andando muito forte e ajuda
1:36,inclusive você chamar inimigos a uma
1:38,distância desejável e andar de uma coisa
1:40,também que você deve prestar atenção
1:42,porque todos os itens que estão ali
1:44,basicamente são inúteis então a única
1:46,coisa que vai ser útil pra todo mundo é
1:49,a chave mestra os outros itens aqui você
1:51,tudo consegue no decorrer do jogo de uma
1:53,forma extremamente fácil e ela que vai
1:55,ser usada aqui pra gente conseguir
1:56,coisas boas no início então montado seu
1:59,personagem escolhido a sua classe
2:01,você já vai passar direto pela vetorial
2:03,matou o chefe negro na rua com duas mãos
2:05,e caído de cima duma copiada na cabeça
2:07,dele e você acabou o tutorial
2:09,basicamente você vai se levar tão de
2:12,rubber co
2:12,o para fazer links online tem anuidade
2:21,bem a elektro line para quem já jogou os
2:24,outros dark souls é o ponto que você vai
2:26,mais usar vai centralizar alguns mp6 pra
2:29,você
2:30,tudo gira é basicamente ao redor de fire
2:33,links online
2:34,a primeira coisa que eu recomendo a você
2:35,chegar e assentar na fogueira e
2:36,distribuir os seus atributos porque as
2:39,próximas coisa a gente vai precisar
2:40,fazer aqui a gente vai morrer algumas
2:41,vezes é normal pra você não perder suas
2:43,almas tribos atributos eu recomendo você
2:46,colocar inicialmente 10 e destreza você
2:48,vai ter 10 força colocar 10 distritos a
2:50,e o resto você vai colocando e fé o
2:53,objetivo de chegar a 14 de ferro vão ver
2:55,que mais para frente então depois você
2:56,distribui suas almas não recomendo você
2:57,dar um passeiozinho fire win dama
3:00,explorado e pedro todos os itens que
3:01,você conseguir subir vai ter um elevador
3:04,que você vai usar futuramente você pode
3:05,cair ali e pegar alguns itens
3:07,interessantes que pode ser usado a
3:09,partir daí você pode para o cemitério
3:11,com os esqueletos não mais esqueletos
3:13,você não vai conseguir matá los
3:15,simplesmente ignora ele vai na cori dona
3:18,pegando todos os itens possíveis que
3:20,você conseguir santista render a lança e
3:22,os binóculos
3:24,mas se você morrer você pode e voltar
3:26,aqui e tentar pegar os itens quantas
3:28,vezes você quiser você está sem alma com
3:29,seu personagem então você pode morrer
3:31,quantas vezes você quiser que não vai
3:32,acontecer nada
3:34,agora vamos pegar a primeira arma e
3:37,escudo que é bom do início do jogo mas a
3:39,gente vai pegar também duas armas que
3:41,também são muito forte você pode usar
3:43,não basta você descer a escada de faro
3:46,links online e pegar um elevador
3:49,antes a gente pegar a arma nós vamos
3:51,seguir para a esquerda onde terá uma
3:53,pontinha com as luzes azuis
3:56,basta você passa ocorrendo ignorar os
3:59,fantasmas que você não vai conseguir dar
4:00,nem dando neles estão contornando esses
4:03,fantasmas fazendo um controle pela
4:05,direita
4:06,você vai ver no final ali um item sim
4:09,pra você pegar pega que vale é a alma da
4:11,fire equipe é a alma da guardiã do fogo
4:13,e depois disso só resta você se matar
4:17,beleza voltar no passado links online
4:18,você pode descer a escada novamente e
4:21,antes vai ter uma grade lhe confere a
4:23,equipe você pode usar essa alma que você
4:25,acabou de pegar para aumentar o seu
4:27,estilo flash que ficando mais 1 ou seja
4:30,vai curar mais o seu hp agora volte pelo
4:33,mesmo caminho de ser
4:34,o elevador entretanto dessa vez você vai
4:36,pela direita e vai subir o escadinha ea
4:40,equipe é o brilho da master quina você
4:42,consegue usar mais ter que nessa área
4:44,que coisa que você só conseguirá acessar
4:46,depois de matá-los 45 chefe se eu não me
4:49,engano demoraria muito para chegar nesse
4:50,caminho aqui sem mais ter que seguir o
4:53,caminho b e tortuoso então ele cortou um
4:55,caminho pra você
4:57,agora a gente vai seguir o caminho
4:58,sozinho ali estreito que tem passar por
5:00,uma ponte onde vai ter um dragão
5:02,adormecido a partir do momento que você
5:04,chega perto do itn dragão acordo então
5:06,você tem que ser um pouco rápido você
5:09,vai além das partes dragão e já pega o
5:10,item que ele vai pegar a espada de
5:12,altura e os o do emblema do dragão
5:15,lembrando que o dragão ele vai te matar
5:17,provavelmente ou se você dá muita sorte
5:19,rodeia que você consegue fugir dele tá
5:21,mas não tem problemas e pegou esse pode
5:23,morrer e bem lembra que no início falei
5:25,pra você focar em 14 de fé então essa aí
5:28,ela é necessária 14 de fé 10 destreza
5:31,para você poder impunha lá o escuro
5:34,também é muito bom ele bloqueia 100% de
5:36,ataque físico coisa que você não vai
5:38,conseguir com os custos iniciais já pode
5:40,usar o escudo enquanto você usa um
5:43,machadinho tá bem agora a gente tem uma
5:45,espada que quando você conseguir que
5:47,paula você vai matar a maioria dos
5:48,inimigos ele de início um hit porém vão
5:51,esperar uma mais apelou ainda ele tanto
5:53,o caminho dessa aqui um pouquinho asado
5:55,hoje vai voltar para o cemitério das
5:56,cadeirinhas entretanto a gente vai ali
5:58,troca de direito vai ter uma pequena
6:00,escada para você poder desse descendo as
6:02,escada no meio ao breu ali você vai
6:04,seguir no caminho das escadas até você
6:07,chegar num lugar que parece um buraco
6:08,mas não é basta cair ali que vão ter
6:11,vários ossos atravessando ali a primeira
6:14,porta e virando à direita onde tem uma
6:16,parede quebrada
6:17,cuidado que tem um piloto manteve com
6:19,esta tecnologia mas corre o poder logo
6:21,ativar o dispositivo que tem ali naquele
6:25,dispositivo vai permitir abrir uma porta
6:27,então você volta o caminho ali pode ser
6:31,que tenham cabelos bloqueando ali o seu
6:32,caminho e você vai morrer
6:35,com certeza mas você já liberou caminha
6:36,basta você voltar
6:38,no caso de sorte aqui novamente não
6:40,morri
6:41,então já foi direto ele para o caminho
6:42,que abril seguindo carro
6:45,desviando das cadeirinhas elas não te
6:47,matar com um golpe só então você pode de
6:49,uma forma mais tranquila sem muita
6:51,afobação atravessando ele no final da
6:53,ponte você se posiciona e rola pra
6:56,frente que você vai cair lá embaixo você
6:58,não vai morrer se tiver com a vida cheia
7:00,não esqueça de encher sua vida beleza
7:02,então você foi ali você já corre para o
7:04,caminho da direita local muito escuro
7:06,também ir lá no final você vai ver um
7:09,demônio da internet disse mann e atrás
7:12,dele tem um item então eu recomendo você
7:13,tentar correr para pegar o item ele
7:16,provavelmente não vai te matar com um
7:17,golpe dependendo da forma que ele te
7:19,bater mas recomendo vos tentar esquivar
7:21,pegou o item atrás você dá a volta por
7:24,ele e você vai ver uma espécie de caixão
7:27,ali basta você entrar no caixão se você
7:30,pegou o item morreu pra ele não tem
7:32,problema basta você voltar aqui e agora
7:34,dessa vez você entraria direto no caixão
7:37,você espera cerca de mais ou menos 40
7:39,segundos que vai entrar uma cutscene
7:41,claustrofóbico
7:50,e assim você vai para o mar totalmente
7:53,nova né e lá na frente você vai poder
7:55,selar o pacto dos gregos lord lá com um
7:58,bonito vocês ela aquele pacto que você
8:01,vai ganhar a espada do board da tumba
8:04,que também é muito forte
8:05,entretanto ela precisa um pouco mais de
8:07,status que é 24 de força e 13 de
8:11,destreza só uma pausa agora vou explicar
8:13,como funciona as armas de dar show se
8:15,você não está familiarizado com o jogo
8:17,se você for ver cada arma possui
8:18,parâmetros favorecidos e do lado
8:21,atributos necessários conforme mostra o
8:24,símbolo tem força destreza inteligência
8:26,e fé
8:27,no caso da espada do lorde pizza de 24
8:30,de força e 13 de destreza e esse
8:33,parâmetro favorecidos é o que vai formar
8:35,a build da arma então dependendo da arma
8:37,que você decide usar no jogo você vai
8:40,ter que seguir as builds dela ou seja
8:42,por exemplo a arma do longe das tubas
8:45,ela tem é em força é inglês trezza essa
8:48,letra é de cd e aes é o mais fraco e
8:53,essa é o maior
8:54,isso aqui mostra a escala dela com o seu
8:57,atributo
8:58,ou seja essa aqui é força é ainda
9:01,surpresa então se você tiver força e
9:03,destreza de uma forma equilibrada essa
9:05,espada vai dar mais dano
9:06,agora se você tiver muita inteligência
9:08,essa espada não têm escala nenhuma com
9:10,inteligência então ela não vai subir
9:13,o bom exemplo aqui que eu posso dar é do
9:14,próprio talismã o talismã tem apenas
9:16,escala bem fé ou seja ele é voltado para
9:19,cléricos que usam fé então ele vai ter
9:21,uma escola boa pra quem usa os atributos
9:23,de phelps qb e conforme você aumenta sua
9:26,espada para mais uma vez mais 24 etc
9:28,para esses atributos de ele aumenta pode
9:31,chegar ou à s ok é um pouco complicado
9:33,de entender mas também não é impossível
9:36,agora nós temos duas armas muito
9:38,poderosas do jogo
9:40,basta agora você seguir o caminho da
9:41,direita que é o caminho certo a seguir
9:43,matar e explorar um pouco do mapa ali
9:46,para conseguir alguns itens depois você
9:49,cruzar a ponte ver aquele belo dragão ou
9:52,dragonette nessa nova tradução do jogo
9:54,você matar os inimigos a ele vai ter uma
9:56,entradinha com uma fogueira para você
9:58,descansar à altura desse campeonato
9:59,provavelmente você já conseguiu colocar
10:02,14 de fé
10:03,você não conseguir você pode mandar um
10:04,pokémon seu redor lembre-se você tenha
10:06,almas dentro do seu inventário aquelas
10:09,pequenas almas você pode quebrá lo acho
10:11,que ela vai se transformar em almas pra
10:12,você poder usar os seus atributos não
10:14,usa essas almas aí e ver se você
10:16,consegue chegar a 14 de fé chega na casa
10:19,de festas já pode usar a a espada de
10:21,astro que eu recomendo você usar agora
10:23,você pode focar se você quiser usar a
10:26,espada dos lordes das tumbas
10:28,eu recomendo você acender essa fogueira
10:30,e como isso funciona ali no canto de seu
10:32,personagem tem um número aquele número
10:34,significa humanidades você recebe um
10:37,item chamado humanidade conforme você
10:38,joga o explora o mapa e essa humanidade
10:41,você pode usá la para se tornar humano e
10:43,acender uma fogueira se tornando um ano
