TIME, DESCRIPT
0:00,como você já deve saber o Dark Souls e
0:02,qualquer jogo da front soft Souls like
0:05,são jogos que eu gosto muito e já joguei
0:07,1 milhão de vezes eu platinei o sequir o
0:09,Elder rng e tô em busca da Platina do
0:11,bloodborne e dos três Dark Souls e
0:13,sempre que eu falo de Dark Souls para
0:15,alguém a resposta que eu sempre escuto é
0:17,que eles queriam jogar mas tem medo
0:19,porque é muito difícil porque por algum
0:21,motivo se criou essa lenda de que Dark
0:23,Souls é impossível e tem que ter nascido
0:25,com o controle na mão para conseguir
0:27,jogar mas eu vou provar como ele pode
0:29,ser muito fácil Se você souber jogar
0:31,direito quer dizer muito fácil é uma
0:32,palavra forte né tem que ter um
0:33,pouquinho de habilidade ali também eu já
0:35,vi vários tutoriais ensinando como
0:37,deixar o jogo mais fácil e pegar itens
0:39,que vão te ajudar mas nenhum deles fala
0:41,sobre as mecânicas e a gamep em si então
0:44,eu decidi fazer esse vídeo mas antes de
0:46,continuar eu queria agradecer o World of
0:48,Tanks por Patrocinar Esse vídeo é muito
0:50,legal ser reconhecido por um jogo que eu
0:52,jogava na infância se você não conhece
0:54,nunca ouviu falar World of Tanks assim
0:56,como o nome já diz é um jogo de tanque
0:58,que você participa de batalhas épicas
1:00,online com outros tanques que eu sempre
1:02,gostei nesse jogo é que ele tem um
1:04,trilhão de tanque de guerra e eles
1:06,existem na vida real são tanques de
1:08,verdade tem até tanque da Fiat Você
1:10,sabia que a Fiat faz tanque de guerra
1:12,não é à toa que ela fez o Uno e os
1:13,tanques tem vários upgrades que você
1:15,pode fazer e depois batalhar nas mais de
1:17,40 Arenas disponíveis E olha que mapa
1:21,[ __ ] tem um que pareça Suíça tem um que
1:23,parece os interiorzinho da Itália Eles
1:25,podiam fazer um na Normandia né aí a
1:27,ideia aí o World of Tanks vai ter que
1:29,pagar comissão hein ah mas todinha eu
1:31,não tenho dinheiro para comprar jogo eu
1:34,gastei meu 114 todo em ovo de Páscoa
1:37,agora estou pobrinho bom isso não é um
1:39,problema porque World of Tanks é de
1:41,graça isso mesmo que você ouviu de
1:43,grátis Free to Play É só você clicar aí
1:45,no primeiro link da descrição para
1:47,baixar e ser feliz e usando o código
1:49,combate no seu registro você vai ter
1:51,sete dias de acesso Premium vai ganhar
1:53,250.000 créditos o tanque cromel p três
1:56,tanques de aluguel sendo o Tiger 131 O
1:58,t78 e o Type 64 E caso você já tenha uma
2:02,conta que você jogou no passado e não
2:04,joga mais de 30 dias você ganha três
2:06,dias de acesso Premium a camuflagem
2:08,barganha e o tanque de aluguel Centurion
2:10,MK É isso aí World of Tanks o link tá aí
2:14,na descrição Esse é o primeiro Boss do
2:16,jogo incrivelmente muita gente desiste
2:18,nele porque ele é um pouco difícil sim
2:21,para quem nunca jogou e não tá
2:23,acostumado com esse tipo de jogo Hello
2:25,bom dia ai o maior erro que você pode
2:29,cometer quando você tá lutando contra um
2:30,boss é ficar rolando infinitamente
2:33,descoordenados saber para onde você tá
2:35,indo sem saber o que fazer e ficar
2:36,correndo do boss assim igual idiota
2:37,igual uma barata TPA porque ele vai te
2:39,pegar e vai te matar o que você tem que
2:41,fazer incrivelmente é ir para cima dele
2:43,e grudar nele Olha só V defendendo ele
2:46,não tá me
2:47,acertando então o que você tem que fazer
2:49,é defender e contornar Ele defende e
2:53,bate nele não spama os ataques dá sempre
2:56,um dois tapinhas para você que tá
2:58,começando dá dois tapinhas que você vai
3:00,tem menos chance de morrer ó um tapinha
3:02,se você spamar assim você vai morrer
3:04,porque sua estamina vai acabar e agora
3:06,ele virou Demio é só você contornar ele
3:09,não importa o tamanho do bicho Dark
3:11,Souls tem uma regra aqui quanto maior o
3:13,bicho mais fácil ele é olha só que
3:15,idiota sou
3:18,bobão
3:21,espc sou bobão sou
3:24,Bosso cair no chão a se é isso a g jogo
3:29,mais tudo mundo chegando aqui no castelo
3:31,Essa é a Safe Zone do jogo é o lugar que
3:35,você mais vai vir é aqui onde você faz
3:37,tudo você UPA suas armas você sobe de
3:39,nível aqui é seu QG que você fala com
3:42,essa mina e ela que te sobe de nível no
3:44,começo o que eu recomendo fazer é upar o
3:46,máximo a sua vida só UPA a vida e
3:48,esquece o resto porque nada disso aqui
3:50,vai te ajudar no começo tanto de força
3:52,que você upar aqui é um valor ridículo
3:54,que não vai fazer muita diferença então
3:56,só o para vida que é o que mais faz
3:58,diferença tenta deixar vida no 25 Aí sim
4:01,depois você começa a upar as coisas
4:02,Antes de Partir pra sua jornada você
4:04,também fala com esse cara aqui que ele é
4:06,o André ele é o Ferreiro que UPA suas
4:08,armas e você vem aqui em designar frasco
4:10,e coloca tudo no estos O Amarelinho que
4:13,é o de vida e agora você tá pronto para
4:15,começar sua jornada coloca a espadinha
4:20,aqui a m
4:25,later Ô careta Tom mano cu [ __ ] ai
4:32,ai tomar no seus cu aqui é um lugar onde
4:37,onde muita gente desiste também porque
4:40,essa parte é bem chatinha mesmo o que
4:42,você vai fazer sobe a escada correndo
4:45,aqui ô filha da
4:48,[ __ ] só correr aqui ó
4:51,oh não negão vai com meu
4:56,rabo pronto sobreviveu Só matar os
5:00,pateta que ficou vivo aqui acredite ou
5:02,não mas esse baú é o motivo de muita
5:04,gente desistir também porque ele tem um
5:09,[Música]
5:12,segredo
5:14,Ah não um monstro horroroso vai matar
5:18,ele é fácil é só você não se desesperar
5:21,faz a mesma tática do escuda se defende
5:24,dá a volta e vai atrás dele espera se
5:26,estamina encher desvia da capoeira dele
5:30,tomar no cua capoerista toma ai é
5:33,importante que você mate ele no início
5:35,porque ele Dropa Um item muito
5:37,importante que é esse Machado no começo
5:40,do jogo esse Machado vai salvar sua vida
5:42,e você vai entender o porqu seu próximo
5:44,desafio são esses Cavaleiros parece
5:46,difícil e realmente é difícil Se você
5:48,não souber matar eles eu vou mostrar o
5:51,porqu Eles são muito mas muito fortte
5:53,então o que você tem que fazer é o
5:56,seguinte defende e tenta ir pras costas
5:59,dele
6:02,uma coisa que você pode cometer no erro
6:06,fazendo isso é você segurar o botão de
6:09,defender porque quando você segura o
6:11,botão de defender a sua estamina demora
6:13,mais para subir Olha só ó segurando o
6:16,botão de defender a estamina demora aí
6:18,se eu solto Então você tem que defender
6:21,e quando você for dar a volta para ir
6:23,para trás dele você solta o L1 senão
6:25,você perde muita estamina e ele vai te
6:27,matar e quando você for bater nas costas
6:30,dele você não pode estar segurando L1 e
6:32,nem se movendo você tem que soltar o
6:34,botão de se mover senão você não
6:35,consegue acertar o backstab que é
6:37,apunhalada pelas costas bom Dark Souls é
6:40,um jogo que você tem que prestar atenção
6:42,para onde você tá indo e antes de
6:44,prosseguir Você tem que sempre procurar
6:46,um atalho pra área por exemplo aqui é um
6:48,atalho
6:50,oi tchau eu vou te mostrar onde ele leva
6:53,e estamos de volta aqui Eita [ __ ]
6:58,Tom Man seu cu cachorrada
7:02,ah pegadinha Vai tomar seu cu não bom e
7:05,veja onde estamos novamente nós cruzamos
7:08,toda essa área e voltamos para lá então
7:11,você tem que procurar os atalhos antes
7:13,de sair andando aleatoriamente porque
7:14,senão você tá
7:21,errado que isso
7:24,cara
7:25,tchau otário outra coisa que você tem
7:29,que entender em Dark Souls é que não dá
7:30,para lutar com vários inimigos ao mesmo
7:32,tempo principalmente se forem inimigos
7:33,fortes como esses caras então o que você
7:35,tem que fazer é atrair eles um por
7:38,um otário
7:41,otário ai pegadinha cara
7:45,pegadinha ai cara pegadinho pegadinho
7:48,[ __ ] vem
7:49,cá toma
7:53,errei
7:55,toma F esperto já tomar outro aqui ó
8:01,bom aqui eu acredito que ainda faz parte
8:04,do tutorial de Dark Souls esse Boss
8:06,daqui ele é tão fácil quanto o primeiro
