TIME, DESCRIPT
0:06,Any Person e nesse vídeo eu vou te explicar os truques que ele fez como ele derreteu os chefões e porque o arco é
0:11,uma das armas mais roubadas desse jogo Dark Souls é bastante conhecido por sua dificuldade mapa labiríntico inimigos
0:18,bem posicionados e chefões ignorantes ol o demônio corre é o diabo os requisitos
0:25,para chegar no fim de Dark Souls são passar do tutorial lugar onde muitos desistem deotado o Taurus Demon caso
0:30,você não tenha A Chave Mestra tocar dois sinos que ficam em duas áreas diferentes que são protegidos por chefes as gárgulas e qug depois entrar na
0:37,Fortaleza sen passar por uma série de armadilhas inimigos bem posicionados para no final de tudo enfrentar um golem
0:43,de ferro após o Golem você terá de avançar pro Anor Londo e enfrentar dois chefões ao mesmo tempo uma luta
0:48,considerada uma das mais difíceis do jogo após essa luta quatro caminhos para quatro chefões diferentes se abrem e só
0:54,depois de derrotar todos os quatro chefes é que você pode avançar pra área final do jogo e enfrentar Guen o Lord
1:00,das cinzas O Último Chefão antes de começar eu só preciso deixar claro que essa é a Speed Run de Dark Souls 1 e não
1:06,a do Dark Souls 1 remastered a versão remasterizada possui algumas diferenças que logo mais você vai entender é tá bom
1:12,Bora ver como essa Run vai se desenrolar e quais Passos o kiwi vai tomar para avançar o mais rápido possível Aqui fica
1:18,o temporizador dele mas o temporizador só começa depois de montar o personagem ele nomeu o personagem com QQ referência
1:24,ao seu nick Ah e já de cara a escolha de jogar como Male ou female é esse extremamente importante na prática essa
1:32,escolha não faz muita diferença mas tem certas questões técnicas que tornam o meil A Melhor Escolha para uma Run mais
1:38,rápida Já já te explico agora o kiwi precisa escolher sua classe em Dark Souls você pode começar com essas várias
1:44,classes cada uma tem suas particularidades para essa Speed Run a classe escolhida é a Warrior porque ela faz com que seu personagem comece com 13
1:51,de força e 13 de destreza te permitindo equipar melhores armas mais cedo no jogo força é um status bastante importante
1:57,para esse Speed Run então quanto mais força Melhor agora o kiwi precisa escolher um gift Um item para iniciar o
2:03,jogo aqui tem vários e cada um deles tem seu uso durante muito tempo os Speed Runners usavam a Master Key com essa
2:09,chave você podia abrir algumas portas mais cedo e evitar certos encontros mas para as estratégias que o kiwi vai usar
2:15,o item escolhido será a Black Fire Bomb ou seja o personagem dele vai começar com 10 bombas e você verá o uso de cada
2:22,uma delas durante a Run Olha a pedra Essas são as escolhas importantes na hora de montar o personagem o físico
2:29,rosto etc não influenciam em nada bora começar a Run existia um mundo
2:34,antigamente chamado São Paulo mas teve um dia menor que a poluição de São Paulo
2:39,chegou ao seu ápice um vírus atacou a humanidade e tudo começou a pegar fogo
2:45,aleatoriamente meu nobre [ __ ] vários fogos mano é muito fogo os cachorros de
2:51,São Paulo Ficaram tão infectados com a poluição que viraram dagres vários dagres mas teve um homem que não deixou
2:59,São Paulo um carioca menor o carioca roubou até a poluição mano carioca é [ __ ] [ __ ] que o pariu menor o
3:06,temporizador inicia após a cuts logo de cara ele desequipar a armadura de peito para que ele consiga correr e esquivar
3:12,mais rápido em Dark Souls quanto mais pesado você estiver mais lento você corre Além disso o peso também
3:18,influencia na sua esquiva então aqui durante a Speed Run ele vai sempre ficar com a menor quantidade de Armadura
3:24,possível para conseguir ter a melhor velocidade e a melhor esquiva após abrir a sela ele já segura a arma com as duas
3:30,mãos e começa a correr um detalhe rápido segurar a arma dessa maneira após a animação da porta abrindo salva três
